"Type","Title","Href","Descr","Carrier_No","Component_No","Copied_To_Items","Copied_From_Items","Format","File_format","File_size","Item_Type","Entered_Date","Modified_Date","Who_Entered","Who_Modified","AFC","AFS","AFCI","LCCN","ITEM_BARCODE_NUMBER","SHA1_DIGEST","OTHER"
"DigitalCarrier","1913935-2-1 Kenneth M. Bilby Jamaican Maroon Collection, 1977-1991 MV1","/DigitalCarrier/key/1913935-2-1","Video/mxf","1","2","","copiedDate: 2013-10-29 copyItem:/DigitalCarrier/key/1913935-2-1 item:/VideoTapeCarrier/key/1913935-1-1","G","","","GA","2013-10-29T06:28:21","2013-10-29T07:29:19","WORKF","WORKF","afc1983008","","","","","601907DD8BC8191F07CE8E20D79B72448C49B151",""
"DigitalCarrier","1913935-3-1 Kenneth M. Bilby Jamaican Maroon Collection, 1977-1991 MV1","/DigitalCarrier/key/1913935-3-1","Video/MPEG4","1","3","","copiedDate: 2013-10-29 copyItem:/DigitalCarrier/key/1913935-3-1 item:/VideoTapeCarrier/key/1913935-1-1","G","","","GA","2013-10-29T06:29:01","2013-10-29T07:29:18","WORKF","WORKF","afc1983008","","","","","4F3CFBB8BB764FE8531A96574B799C49C1A2B272",""
"VideoTapeCarrier","1845131-1-1 Kenneth L. Hamilton oral history interview, 1992-10-05 : Veterans History Project (U.S.)","/VideoTapeCarrier/key/1845131-1-1","1/2"" VHS","1","1","copiedDate: 2012-01-26 copyItem:/DigitalCarrier/key/1845131-2-1 | copiedDate: 2012-01-26 copyItem:/DigitalCarrier/key/1845131-3-1 | copiedDate: 2012-01-26 copyItem:/DigitalCarrier/key/1845131-4-1","","V","","","VA","2011-09-15T10:42:50","2012-01-26T23:51:28","ASWA","WORKF","afc200100130955","","afc200100130955mv01","","199899028","",""
"DigitalCarrier","1845131-2-1 Kenneth L. Hamilton oral history interview, 1992-10-05 : Veterans History Project (U.S.)","/DigitalCarrier/key/1845131-2-1","Video/mxf","1","2","","copiedDate: 2012-01-26 copyItem:/DigitalCarrier/key/1845131-2-1 item:/VideoTapeCarrier/key/1845131-1-1","G","","","GA","2012-01-26T23:53:44","2012-01-26T23:54:23","WORKF","WORKF","afc200100130955","","","","","FE02B351A47620DC50C25BC513408C405AF8D2D7",""
"DigitalCarrier","1845131-3-1 Kenneth L. Hamilton oral history interview, 1992-10-05 : Veterans History Project (U.S.)","/DigitalCarrier/key/1845131-3-1","Video/MPEG2","1","3","","copiedDate: 2012-01-26 copyItem:/DigitalCarrier/key/1845131-3-1 item:/VideoTapeCarrier/key/1845131-1-1","G","","","GA","2012-01-26T23:53:59","2012-01-26T23:54:24","WORKF","WORKF","afc200100130955","","","","","DE7B853B21DD4030891BEA30BB8BB524CFE10A52",""
"DigitalCarrier","1845131-4-1 Kenneth L. Hamilton oral history interview, 1992-10-05 : Veterans History Project (U.S.)","/DigitalCarrier/key/1845131-4-1","Video/MPEG4","1","4","","copiedDate: 2012-01-26 copyItem:/DigitalCarrier/key/1845131-4-1 item:/VideoTapeCarrier/key/1845131-1-1","G","","","GA","2012-01-26T23:54:08","2012-01-26T23:54:24","WORKF","WORKF","afc200100130955","","","","","69D56AF23D304BD77F228949F3C0483CB4838BCB",""
"VideoTapeCarrier","1980452-1-1 Kenneth Lavon Johnson oral history, National Visionary Leadership Project ; 2007-10-12","/VideoTapeCarrier/key/1980452-1-1","1/4"" Digital Videocassette (DV, DVCAM, MiniDV)","1","1","","","V","","","VA","2013-11-05T17:23:00","2013-11-05T17:23:00","KSTE","KSTE","afc2004007","","afc2004007:274.mv.001","","","",""
"VideoTapeCarrier","1980452-1-2 Kenneth Lavon Johnson oral history, National Visionary Leadership Project ; 2007-10-12","/VideoTapeCarrier/key/1980452-1-2","1/4"" Digital Videocassette (DV, DVCAM, MiniDV)","2","1","","","V","","","VA","2013-11-05T17:23:00","2013-11-05T17:23:00","KSTE","KSTE","afc2004007","","afc2004007:274.mv.002","","0041016775a","",""
"VideoTapeCarrier","1980452-1-3 Kenneth Lavon Johnson oral history, National Visionary Leadership Project ; 2007-10-12","/VideoTapeCarrier/key/1980452-1-3","1/4"" Digital Videocassette (DV, DVCAM, MiniDV)","3","1","","","V","","","VA","2013-11-05T17:23:00","2013-11-05T17:23:00","KSTE","KSTE","afc2004007","","afc2004007:274.mv.003","","410167761","",""
"VideoTapeCarrier","1845246-1-1 Kenneth Ambrose Schaeffer oral history interview, 2007 : Veterans History Project (U.S.)","/VideoTapeCarrier/key/1845246-1-1","1/2"" VHS","1","1","copiedDate: 2012-01-28 copyItem:/DigitalCarrier/key/1845246-3-1 | copiedDate: 2012-01-28 copyItem:/DigitalCarrier/key/1845246-2-1 | copiedDate: 2012-01-28 copyItem:/DigitalCarrier/key/1845246-4-1","","V","","","VA","2011-09-16T08:08:57","2012-01-28T02:48:48","ASWA","WORKF","afc200100163116","","afc200100163116mv01","","199888948","",""
"DigitalCarrier","1845246-2-1 Kenneth Ambrose Schaeffer oral history interview, 2007 : Veterans History Project (U.S.)","/DigitalCarrier/key/1845246-2-1","Video/mxf","1","2","","copiedDate: 2012-01-28 copyItem:/DigitalCarrier/key/1845246-2-1 item:/VideoTapeCarrier/key/1845246-1-1","G","","","GA","2012-01-28T02:51:05","2012-01-28T02:51:39","WORKF","WORKF","afc200100163116","","","","","51F9CE7B98A0C053F25706C1664A27818C50106C",""
"DigitalCarrier","1845246-3-1 Kenneth Ambrose Schaeffer oral history interview, 2007 : Veterans History Project (U.S.)","/DigitalCarrier/key/1845246-3-1","Video/MPEG2","1","3","","copiedDate: 2012-01-28 copyItem:/DigitalCarrier/key/1845246-3-1 item:/VideoTapeCarrier/key/1845246-1-1","G","","","GA","2012-01-28T02:51:19","2012-01-28T02:51:39","WORKF","WORKF","afc200100163116","","","","","49CE74B035149E6E37A13BF5023A285D2EA138A9",""
"DigitalCarrier","1845246-4-1 Kenneth Ambrose Schaeffer oral history interview, 2007 : Veterans History Project (U.S.)","/DigitalCarrier/key/1845246-4-1","Video/MPEG4","1","4","","copiedDate: 2012-01-28 copyItem:/DigitalCarrier/key/1845246-4-1 item:/VideoTapeCarrier/key/1845246-1-1","G","","","GA","2012-01-28T02:51:29","2012-01-28T02:51:40","WORKF","WORKF","afc200100163116","","","","","50EC4483D0CFBB49BCC31FB0C765F99552BF6A45",""
"VideoTapeCarrier","1845151-1-1 Kenje Ogata oral history interview, 1994-11-14 : Veterans History Project (U.S.)","/VideoTapeCarrier/key/1845151-1-1","1/2"" VHS","1","1","copiedDate: 2012-02-07 copyItem:/DigitalCarrier/key/1845151-4-1 | copiedDate: 2012-02-07 copyItem:/DigitalCarrier/key/1845151-2-1 | copiedDate: 2012-02-07 copyItem:/DigitalCarrier/key/1845151-3-1","","V","","","VA","2011-09-15T11:38:39","2012-02-07T23:24:12","ASWA","WORKF","afc200100130983","","afc200100130983mv01","","199898115","",""
"DigitalCarrier","1845151-2-1 Kenje Ogata oral history interview, 1994-11-14 : Veterans History Project (U.S.)","/DigitalCarrier/key/1845151-2-1","Video/mxf","1","2","","copiedDate: 2012-02-07 copyItem:/DigitalCarrier/key/1845151-2-1 item:/VideoTapeCarrier/key/1845151-1-1","G","","","GA","2012-02-07T23:26:15","2012-02-07T23:27:08","WORKF","WORKF","afc200100130983","","","","","9BD99372D7053DD63CB50C071799F58AD72E5562",""
"DigitalCarrier","1845151-3-1 Kenje Ogata oral history interview, 1994-11-14 : Veterans History Project (U.S.)","/DigitalCarrier/key/1845151-3-1","Video/MPEG2","1","3","","copiedDate: 2012-02-07 copyItem:/DigitalCarrier/key/1845151-3-1 item:/VideoTapeCarrier/key/1845151-1-1","G","","","GA","2012-02-07T23:26:38","2012-02-07T23:27:08","WORKF","WORKF","afc200100130983","","","","","F8642FE73CBC9D7891DDE11407E7A46BF9082370",""
"DigitalCarrier","1845151-4-1 Kenje Ogata oral history interview, 1994-11-14 : Veterans History Project (U.S.)","/DigitalCarrier/key/1845151-4-1","Video/MPEG4","1","4","","copiedDate: 2012-02-07 copyItem:/DigitalCarrier/key/1845151-4-1 item:/VideoTapeCarrier/key/1845151-1-1","G","","","GA","2012-02-07T23:26:52","2012-02-07T23:27:08","WORKF","WORKF","afc200100130983","","","","","CA4FB26B373565BE3722A347A18827608D82D83F",""
