"Type","Title","Href","Descr","Carrier_No","Component_No","Copied_To_Items","Copied_From_Items","Format","File_format","File_size","Item_Type","Entered_Date","Modified_Date","Who_Entered","Who_Modified","AFC","AFS","AFCI","LCCN","ITEM_BARCODE_NUMBER","SHA1_DIGEST","OTHER"
"DigitalCarrier","1845101-4-1 Keith M. Little oral history interview, 2004-07-19 : Veterans History Project (U.S.)","/DigitalCarrier/key/1845101-4-1","Video/MPEG4","1","4","","copiedDate: 2012-01-26 copyItem:/DigitalCarrier/key/1845101-4-1 item:/VideoTapeCarrier/key/1845101-1-1","G","","","GA","2012-01-26T19:03:59","2012-01-26T19:04:08","WORKF","WORKF","afc200100128922","","","","","5290CCC2BD8E5DA2E043137FEA25505F023DEC21",""
"DigitalCarrier","1845101-4-2 Keith M. Little oral history interview, 2004-07-19 : Veterans History Project (U.S.)","/DigitalCarrier/key/1845101-4-2","Video/MPEG4","2","4","","copiedDate: 2012-01-26 copyItem:/DigitalCarrier/key/1845101-4-2 item:/VideoTapeCarrier/key/1845101-1-2","G","","","GA","2012-01-26T20:06:00","2012-01-26T20:06:09","WORKF","WORKF","afc200100128922","","","","","0F549BF0333F23D93B0BCF6487B9D763E8387AC5",""
"DigitalCarrier","1845101-4-3 Keith M. Little oral history interview, 2004-07-19 : Veterans History Project (U.S.)","/DigitalCarrier/key/1845101-4-3","Video/MPEG4","3","4","","copiedDate: 2012-01-26 copyItem:/DigitalCarrier/key/1845101-4-3 item:/VideoTapeCarrier/key/1845101-1-3","G","","","GA","2012-01-26T20:05:04","2012-01-26T20:05:14","WORKF","WORKF","afc200100128922","","","","","93B44D6910C371B8B79556C1B6671A0D4DE1E486",""
"DigitalCarrier","1845101-4-4 Keith M. Little oral history interview, 2004-07-19 : Veterans History Project (U.S.)","/DigitalCarrier/key/1845101-4-4","Video/MPEG4","4","4","","copiedDate: 2012-01-26 copyItem:/DigitalCarrier/key/1845101-4-4 item:/VideoTapeCarrier/key/1845101-1-4","G","","","GA","2012-01-26T18:53:31","2012-01-26T18:56:21","WORKF","WORKF","afc200100128922","","","","","73D327F00F1F2AD6A482D49BF1B16E626A173A91",""
"DigitalCarrier","1845101-4-5 Keith M. Little oral history interview, 2004-07-19 : Veterans History Project (U.S.)","/DigitalCarrier/key/1845101-4-5","Video/MPEG4","5","4","","copiedDate: 2012-01-26 copyItem:/DigitalCarrier/key/1845101-4-5 item:/VideoTapeCarrier/key/1845101-1-5","G","","","GA","2012-01-26T22:38:00","2012-01-26T22:38:10","WORKF","WORKF","afc200100128922","","","","","7189DF94F56ADE03B0134DD3FEB97936ABEBAF9F",""
"DigitalCarrier","1845101-4-6 Keith M. Little oral history interview, 2004-07-19 : Veterans History Project (U.S.)","/DigitalCarrier/key/1845101-4-6","Video/MPEG4","6","4","","copiedDate: 2012-01-26 copyItem:/DigitalCarrier/key/1845101-4-6 item:/VideoTapeCarrier/key/1845101-1-6","G","","","GA","2012-01-26T22:34:16","2012-01-26T22:37:08","WORKF","WORKF","afc200100128922","","","","","328FD2739C7E7D53C13D83E9BC9D1DC449E09341",""
"AudioTapeCarrier","1993049-1-1 KCCN heritage series collection: Hawaiian radio SR6","/AudioTapeCarrier/key/1993049-1-1","Analog Cassette","1","1","","","T","","","TA","2013-08-02T09:33:15","2013-08-05T07:54:40","MSEG","MSEG","afc1987008:sr6","","afc1987008:sr6","","0033369556a","",""
"AudioTapeCarrier","1993047-1-1 KCCN heritage series collection: Hawaiian radio SR5","/AudioTapeCarrier/key/1993047-1-1","Analog Cassette","1","1","","","T","","","TA","2013-08-02T09:30:59","2013-08-05T07:54:14","MSEG","MSEG","afc1987008","","afc1987008:sr5","","333695558","",""
"AudioTapeCarrier","1993043-1-1 KCCN heritage series collection: Hawaiian radio SR4","/AudioTapeCarrier/key/1993043-1-1","Analog Cassette","1","1","","","T","","","TA","2013-08-02T09:22:47","2013-08-05T07:53:51","MSEG","MSEG","afc1987008","","afc1987008:sr4","","333695546","",""
"AudioTapeCarrier","1993040-1-1 KCCN heritage series collection: Hawaiian radio SR3","/AudioTapeCarrier/key/1993040-1-1","Analog Cassette","1","1","","","T","","","TA","2013-08-02T09:19:03","2013-08-05T07:53:27","MSEG","MSEG","afc1987008","","afc1987008:sr3","","333695595","",""
"AudioTapeCarrier","1993038-1-1 KCCN heritage series collection: Hawaiian radio SR2","/AudioTapeCarrier/key/1993038-1-1","Analog Cassette","1","1","","","T","","","TA","2013-08-02T09:14:55","2013-08-05T07:53:04","MSEG","MSEG","afc1987008","","afc1987008:sr2","","333695583","",""
